,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
3,0.04311215877532959,0.009834655521952802,0.004612445831298828,0.002518517887925236,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.404358491156873,-7.242981978460254,-5.6605312023761405,-5.3640289893313255,-6.167975165331148,0.7272113782193329,4,-5.558931236100411,-5.2782818540236525,-5.768702847333219,-5.800370995522248,-5.6015717332448824,0.2084397478781569
4,0.03335118293762207,0.008645277423585467,0.0047605037689208984,0.0025406274326253996,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.55264407639678,-7.335055515627377,-5.6757571998856235,-5.422453188351729,-6.246477495065377,0.755559030744755,5,-5.7324171040600325,-5.453396176622863,-5.957607278200426,-6.006887666367183,-5.787577056312626,0.21893315230935714
5,0.0317230224609375,0.011396460629036792,0.004046738147735596,0.0018659897711575948,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.713111232096264,-7.473191897825577,-5.76124721908945,-5.540946823024972,-6.372124293009065,0.7734094564094394,6,-5.94265564320544,-5.680408087563213,-6.209031249302404,-6.264354448056961,-6.0241123570320045,0.2327440010489282
6,0.022076725959777832,0.004148557930513048,0.0040808916091918945,0.002723919758361046,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.87021717273387,-7.635457084949101,-5.906374891198298,-5.710835803915587,-6.530721238199214,0.7742285300580812,7,-6.183609236921665,-5.9325875399655414,-6.484583139195655,-6.5436169300469915,-6.286099211532464,0.24555342683380335
7,0.017612457275390625,0.005987857322157208,0.0036107897758483887,0.0025425945806529034,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-7.037856495321876,-7.805038098875546,-6.081397821261811,-5.919781645535272,-6.711018515248627,0.7625909645523945,8,-6.443358133466357,-6.189695012461272,-6.755925912081524,-6.817045499825921,-6.551506139458768,0.25243904123702243
8,0.011530816555023193,0.0019424922472582966,0.0020107626914978027,0.00015629773352273229,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-7.225108881760022,-7.9770747819105665,-6.253977545999998,-6.148278796457533,-6.90111000153203,0.7497017275791856,9,-6.698802586250311,-6.440490293182601,-7.009727199298196,-7.0676541066948495,-6.80416854635649,0.25250884028422454
9,0.009033679962158203,0.0026684023646707977,0.001855611801147461,6.673761489160181e-05,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-7.407847238385891,-8.136036841745048,-6.401840674320643,-6.3595163523160885,-7.076310276691918,0.7418962063849539,10,-6.916778061007301,-6.659889701552735,-7.231391650414796,-7.275053477463056,-7.020778222609472,0.2500352372399541
0,0.11868661642074585,0.03099530633341333,0.004283785820007324,0.0014177454156008582,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.226448927832868,-7.323246828071568,-6.791582740376747,-36.7878183380414,-14.282274208580645,12.999368814211115,8,-14.34155480282155,-13.93090809437038,-14.252826692544454,-4.931461596972121,-11.864187796677125,4.005526445018082
1,0.10042858123779297,0.02050680422913672,0.0022740960121154785,9.09971249475676e-05,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.970154644546486,-7.218840954854837,-6.671025518479399,-36.72508236030472,-14.146275869546361,13.043390885247392,7,-14.442286411753502,-14.001730564851504,-14.3284810043962,-4.98608064647803,-11.93964465686981,4.01789763393317
2,0.10069394111633301,0.031894075614401454,0.003751516342163086,0.0012928862390011522,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.6267196005058135,-7.08122059898132,-6.557461882581706,-36.67945420525093,-13.986214071829941,13.112299469568164,5,-14.615401166242526,-14.14073970822568,-14.456340225912902,-5.087562273921314,-12.075010843575607,4.037820757366991
